Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
1;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23687314987182617187500000000000000000000000000000;1.37746214866638183593750000000000000000000000000000;
2;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015971422195434569987239348254348669797764159739;0.00000061220783083513167501069377959832529256800626;1.23921275138854980468750000000000000000000000000000;1.26318049430847167968750000000000000000000000000000;
3;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015254735946655274413281955236953990606707520783;0.00000230379899114154567939271624210650912800701917;1.23900032043457031250000000000000000000000000000000;1.26986050605773925781250000000000000000000000000000;
4;0.00015662670135498048176042606982605320808943361044;0.00000242866043415688148994079249842759082866905374;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23440313339233398437500000000000000000000000000000;1.25006580352783203125000000000000000000000000000000;
5;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030921459197998048176042606982605320808943361044;0.00000468556325110966903250237988731718985491170315;1.26534652709960937500000000000000000000000000000000;1.29626798629760742187500000000000000000000000000000;
6;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015657424926757813150521303491302660404471680522;0.00000242703405783686346436443109775282778173277620;1.24971461296081542968750000000000000000000000000000;1.28094077110290527343750000000000000000000000000000;
7;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015609741210937500650521303491302660404471680522;0.00000241227380465716079331931452622850287070832564;1.21887731552124023437500000000000000000000000000000;1.25007414817810058593750000000000000000000000000000;
8;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030869245529174804687500000000000000000000000000;0.00000467002220190693144604137526654241696633107495;1.21878957748413085937500000000000000000000000000000;1.24965882301330566406250000000000000000000000000000;
9;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015296936035156250542101086242752217003726400435;0.00000231656289543025182046075138853069574906839989;1.26570224761962890625000000000000000000000000000000;1.28099918365478515625000000000000000000000000000000;
10;0.00015250444412231444770398913757247782996273599565;0.00000230250294222855644450382965604529061920402455;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23448085784912109375000000000000000000000000000000;1.26534605026245117187500000000000000000000000000000;
11;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015226840972900389866058479260146896194783039391;0.00000229538119153858223008848014889959898710003472;1.21890544891357421875000000000000000000000000000000;1.24971389770507812500000000000000000000000000000000;
