Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
1;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015621662139892578775521303491302660404471680522;0.00000241595964732823721075579206929440090334537672;1.23408675193786621093750000000000000000000000000000;1.39030432701110839843750000000000000000000000000000;
2;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031238794326782226562500000000000000000000000000;0.00000478172530549159091606270521879196166992187500;1.23724031448364257812500000000000000000000000000000;1.26847910881042480468750000000000000000000000000000;
3;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00023979663848876952474478696508697339595528319478;0.00000090091632907842717203081642218798208432417596;1.23218369483947753906250000000000000000000000000000;1.26016163825988769531250000000000000000000000000000;
4;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015637397766113281141579782751449556599254719913;0.00000242082926806688177189430706548467497896126588;1.24967980384826660156250000000000000000000000000000;1.28093886375427246093750000000000000000000000000000;
5;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031266450881958009764063910473907981213415041566;0.00000479020831232332854521163006955575269785185810;1.24967002868652343750000000000000000000000000000000;1.28093647956848144531250000000000000000000000000000;
6;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015627145767211915146702172485504434007452800870;0.00000241765607981392304017009310668218091677772463;1.21887731552124023437500000000000000000000000000000;1.25012350082397460937500000000000000000000000000000;
7;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23638963699340820312500000000000000000000000000000;1.26721596717834472656250000000000000000000000000000;
8;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00031281709671020506728297827514495565992547199130;0.00000479489222286133465915965862214065396074147429;1.23446083068847656250000000000000000000000000000000;1.26574254035949707031250000000000000000000000000000;
9;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030861616134643556205383041479706207610433921218;0.00000466798208350951439847553725570605820394121110;1.23405003547668457031250000000000000000000000000000;1.26491165161132812500000000000000000000000000000000;
10;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.25005292892456054687500000000000000000000000000000;1.26567387580871582031250000000000000000000000000000;
11;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23417782783508300781250000000000000000000000000000;1.26507639884948730468750000000000000000000000000000;
12;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015655040740966796983420217248550443400745280087;0.00000242629497595316919055408351468816618989876588;1.23446488380432128906250000000000000000000000000000;1.28123664855957031250000000000000000000000000000000;
13;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030898571014404297308680868994201773602981120348;0.00000467871748012385027282481961274918091930885566;1.23405051231384277343750000000000000000000000000000;1.26494908332824707031250000000000000000000000000000;
