Nº Prueba;Tiempo medio procesar;Varianza tiempo procesar;Tiempo medio encriptar;Varianza tiempo encriptar;Tiempo envio;Tiempo total;
1;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015620708465576170682377610265945122591801919043;0.00000241566467636857769318327326946160837906063534;1.23444080352783203125000000000000000000000000000000;1.35941338539123535156250000000000000000000000000000;
2;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015264749526977539062500000000000000000000000000;0.00000230682452340147392533253878355026245117187500;1.21889591217041015625000000000000000000000000000000;1.24975132942199707031250000000000000000000000000000;
3;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23848199844360351562500000000000000000000000000000;1.26985168457031250000000000000000000000000000000000;
4;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015212059020996092882638262011596452794037759304;0.00000229092672261686117497476826432301066915897536;1.22047472000122070312500000000000000000000000000000;1.25130701065063476562500000000000000000000000000000;
5;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015240669250488281466840434497100886801490560174;0.00000229955219210751111766203626241011903630351298;1.21887779235839843750000000000000000000000000000000;1.24970221519470214843750000000000000000000000000000;
6;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030868291854858399304861737988403547205962240696;0.00000466958874005172191171868581460735470045619877;1.23448610305786132812500000000000000000000000000000;1.26535439491271972656250000000000000000000000000000;
7;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015222072601318360242361737988403547205962240696;0.00000229394379337008956002666622275842911449217354;1.23446083068847656250000000000000000000000000000000;1.24968290328979492187500000000000000000000000000000;
8;0.00015245914459228516492361737988403547205962240696;0.00000230113528621131965595705132221482358545472380;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.21888470649719238281250000000000000000000000000000;1.24971199035644531250000000000000000000000000000000;
9;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030825376510620119139063910473907981213415041566;0.00000465685633241150536771246412626190647188195726;1.22243189811706542968750000000000000000000000000000;1.25325727462768554687500000000000000000000000000000;
10;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.23040270805358886718750000000000000000000000000000;1.26122426986694335937500000000000000000000000000000;
11;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015661716461181640082898913757247782996273599565;0.00000242836468885343538469368494803202196408165037;1.23446154594421386718750000000000000000000000000000;1.25012326240539550781250000000000000000000000000000;
12;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;1.21886372566223144531250000000000000000000000000000;1.24971199035644531250000000000000000000000000000000;
13;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015241146087646484158159565502899113198509439826;0.00000229969608724331876298740615083282534669706365;1.22049236297607421875000000000000000000000000000000;1.25131487846374511718750000000000000000000000000000;
14;0.00003995895385742187364474728439311945749068399891;0.00000015807508134457744359877115654378076925468122;0.00023953199386596678711718044763046009393292479217;0.00000089889558700519979151174901690901641870823369;1.23854231834411621093750000000000000000000000000000;1.27444767951965332031250000000000000000000000000000;
15;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015661954879760741428558479260146896194783039391;0.00000242843862349104568592152511574688844575575786;1.23445868492126464843750000000000000000000000000000;1.25012063980102539062500000000000000000000000000000;
16;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030870199203491210070138262011596452794037759304;0.00000467050192957572248654346189211672424335120013;1.23432731628417968750000000000000000000000000000000;1.26519751548767089843750000000000000000000000000000;
17;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00015355110168457030382638262011596452794037759304;0.00000233421614202597885209095572578430477506117313;1.21874856948852539062500000000000000000000000000000;1.24971055984497070312500000000000000000000000000000;
18;0.00000000000000000000000000000000000000000000000000;0.00000000000000000000000000000000000000000000000000;0.00030993938446044922308680868994201773602981120348;0.00000470756294473630952239539063097772952914965572;1.23417353630065917968750000000000000000000000000000;1.26516747474670410156250000000000000000000000000000;
